Cod_Matricula;Descricao_Curso;Modalidade;Instituicao;Ultimo_Periodo_Letivo;Idade;Sexo;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Tempo;Cor;CR;Fez_Estágio
61;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;F;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
62;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2008/1;17;M;Concluído;Ampla Concorrência;2005/2;3;BRA;;Sim
63;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;27;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
64;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;18;M;Concluído;Ampla Concorrência;2005/2;2,5;BRA;;Sim
65;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;20;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Sim
3437;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2014/2;28;M;Evadido;Ampla Concorrência;2013/1;2;BRA;;Não
66;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;F;Concluído;Ampla Concorrência;2005/2;2;PAR;;Não
67;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2008/2;23;F;Evadido;Ampla Concorrência;2005/2;3,5;PAR;;Não
74;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
75;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;17;F;Concluído;Ampla Concorrência;2005/2;2,5;BRA;;Não
76;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;19;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
77;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2006/2;17;F;Evadido;Ampla Concorrência;2005/2;1,5;BRA;;Não
78;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
1398;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2016/2;21;M;Concluído;Ampla Concorrência;2009/2;7,5;BRA;;Sim
79;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;F;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
80;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;17;F;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
1392;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2013/2;21;F;Evadido;Ampla Concorrência;2009/2;4,5;BRA;;Não
81;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/2;28;M;Evadido;Ampla Concorrência;2005/2;2,5;BRA;;Não
68;Técnico em Mineração - Rochas Ornamentais;Concomitante;Campus Cachoeiro de Itapemirim;2007/1;18;M;Concluído;Ampla Concorrência;2005/2;2;BRA;;Não
